Ительменское слово,Русское слово,Часть речи
əmpɬi-,расстилать,п1
əmpɬit-,расстилать,п1
əmpɬit-,расстилать,п1
nэpэŋэt-,рассыпать,п1
ŋičxэŋ-,рассыпать приманку,п1
itnэ-,рассыпаться,неп
ənčoʔɬ-,растапливать,п1
ənčoʔɬat-,растапливать,п1
fčizi-,растапливать жир,п1
čo-,растаять,неп
əntэwэlэt-,"растворять в воде, в тесте",п1
towэl-,растворяться,неп
towэlэt-,растворяться,неп неп
tozaʔɬ-,растворяться,неп
tχэl-,растворяться,п1
mэɬqэw,растительная пища,сущ
mt'uŋэčx,растопка,сущ
əɲč'sxэnə-,растопка,п1
paŋirʔon,жирника,сущ
qamst-,растягиваться,неп
pla-,растянуться,неп
χamtzi-,растянуться,неп
piɲɬf-,расходовать,п1
čzil-,расходовать,неп
čzil-,расходовать,п1
p'k'a-,расцветать,неп
p'k'akas,расцветать,инф неп
txəmtx,расческа,сущ
əmtxla-,расчесывать,п1
naŋɬa-,расширить,п1
ənkotŋa-,расширять,п1
kotsa-,расширяться,неп
fačχ,рачки-паразиты,сущ
akawʔač,рачок речной,сущ
kč'эssxэnknэn,рваный,прил
lэk'a-,рвать,п1
lэk'asxэn-,рвать,п1
sč'эz-,рвать,п1
sč'эzэt-,рвать,п1
sč'xn-,рвать в клочья,п1
č'эssxэn-,рвать в клочья,неп
sč'xэpэt-,клочья,п1
qsi-,рваться,неп
lэk'a-,рваться,неп
pxэ-,рваться,неп
sč'эs-,рваться,неп
tэsxэn-,рваться с цепи,неп
sč'эsxэn- ič'эč'wum,местах,неп
tэmэq,вид сараны,сущ
rəmŋэn,растение типа кимчиги,сущ
tozata-,растереть,п1
əsxtэ-,расти,неп
эsχtэ-,расти,неп
anzas,растирание,сущ
anzaʔnoŋ,растирание,сущ
tozazo-,растирать,п1
tozazoʔɬ-,растирать,
krwэɬu-,ребенка убаюкивать,п1
ɲэɲэkэčχ,ребенок,сущ
p'эč,ребенок,сущ
tχaʔɬэs,ребенок приемный,сущ
ftorэl,ребро,сущ
ɲэʔɲsxč'эʔn,ребята,сущ
fajxanom,рев,сущ
бэwэ-,реветь,неп
fajxa-,реветь,неп
rэdiskaʔ,редиска,сущ
эʔlaχ,редкий,прил
эʔlq,редко,нареч
ɬmaʔnax,редко встречающийся,сущ
эʔlaχ,редко стоящий,прил
mэč'tal,реднего возраста лахтак,сущ
əmpχэ-,резать,п1
əmpχэt-,резать по кусочкам,п1
əmpχэt-,резать по частям,п1
əzzatɬ-,резать траву,неп
rэzinkaʔ,резинка,сущ
kiw,река,сущ
kij сущ с.,река,
Сuaču,река Авача,собств
Кɨkшa Ю.,река Большая,собств
Кupxč,справа,собств
əlp-,река вскрывается,неп
Мəzilx,река Пирожникова,собств
inwэniŋ,головном уборе,сущ
liɬ,ремень,сущ
sit,ремень,сущ
uttuwalŋən,ремень нарты,сущ
č'rustənəŋ,ремень нарты,сущ
insxuʔŋэnəŋ,к копыльям,сущ
omtэʔnəm,на нарте,сущ
lэwtэnəŋ,корзины,сущ
inwinom,ремешок,сущ
nənsnom,ремешок на обуви,сущ
anpэnəm,копылье к полозу нарты,сущ
isxuŋэnəŋ,копыльями,сущ
ɬinmiti-,ремонтировать,п1
ənxiʔŋiŋ-,ремонтировать бат,п1
otxpaʔɬ-,ремонтом заниматься,неп
rэpaʔ,репа,сущ
alwas,репутация,сущ
laɬč,ресница,сущ
rэspuбlikaʔ,республика,сущ
tosx,речная коса,сущ
anχsχ,речное устье,сущ
kiwʔin,речной,прил
akawʔač,речной рачок,сущ
kiwwэčχ,речушка,сущ
krwэɬxatas,речь,сущ
lanom,речь,сущ
lak'эɬčaʔnəŋ,ловушкой,сущ
lapэlŋən,ловушки запора,сущ
qэɬt'э-,ржаветь,неп
qэɬt'əm,ржавчина,сущ
rэsowaʔɬ-,рисовать,неп
kэlэkэl,рисунок,сущ
toŋrэpɬ-,робеть,неп
tormaʔɬ-,робеть,неп
kskozolaχ,робкий,прил
kxtэʔan,робкий,прил
rэtэm,ровдуга,сущ
č'iraqt'əl,ровдуга белая,сущ
kwasqэl,ровдужные штаны,сущ
pslaŋsq,ровно,нареч
pslaŋslaχ,ровный,прил
əntэŋ,рог,сущ
ntэlan,рогатый,прил
ntэnʔan,роговой,прил
čirэl,рогожа,сущ
tinuwal,род,сущ
warжin,"род перил, чтобы удержать груз",сущ
isxэʔn,родители,сущ
itnэ-,родить,неп
p'эtэ-,родить,неп
ənsχt-,родить,п1
axs-,родиться,неп
əlxp-,родиться,неп
kʎučэčχ,родник,сущ
tinutin,родня,сущ
tinutin,родственник,сущ
awza-,рожать,неп
awzazo-,рожать,неп
awzat-,рожать,неп
rowa- неп с.,рожать,
kwэzэm,роза,сущ
qwэzэm,роза,сущ
nikɬfaʔɬ-,ронять,неп
nətɬkэ-,ронять,неп
ənkɬfa-,ронять,п1
lэʔlŭm,роса,сущ
tqmiŋ,росомаха,сущ
lэqэs,россомаха,сущ
qэsχ,рот,сущ
fačza-,рот открывать,неп
urwaq,рубашка,сущ
časχ,рубашки деталь,сущ
əmpχэ-,рубить,п1
ənt'ɬ-,рубить,п1
əɲč'sxэnə-,рубить дрова,п1
ulwi-,рубить дрова поперек,неп
ruбl',рубль,сущ
ɬiɲɬэruŋ-,ругать,п1
tajŋa-,ругать,п1
čχmal-,ругать,п1
čχmal-,ругаться,неп
loŋэl-,ругаться друг с другом,п2
oʎэstэr,ружейный чехол,сущ
č'it,ружье,сущ
tχnu-,ружье заряжать,п1
xk'ič,рука,сущ
splaŋ,рукав,сущ
t'эsla-,рукава засучить,п2
ʎэləŋ,рукавица,сущ
liʔl,рукавицы,сущ
txnэtzo-,руками на себя тянуть,п1
təllat-,руками трогать,п1
tnakol,руководитель,сущ
alat-,рукой гладить,п1
upsχ,рукоятка,сущ
kujnəŋ,рукоятка ножа,сущ
qənʔt'sx,рукоятка скребка,сущ
ənamčэtə-,руку протягивать,п1
čisχ,руль,сущ
ijazo-,рунный ход рыбы,неп
simtwэn,русло ручья,сущ
ttэxč,русоволосый,сущ
ačəбrэ,русский,сущ
aʔwačχ,русский,прил
ttэxč,русский,сущ
kiwwэčχ,ручей,сущ
k'эk'эlэčχ,ручка,сущ
qujwən,ручка,сущ
ručkэʔ,ручка,сущ
kɬэnk'эŋʔin,ручной,прил
k'эk'эlэčχ,ручонка,сущ
axtnom,рыба,сущ
wэsalkalŋin,рыба,сущ
qanas,рыба,сущ
nəɲč сущ с.,рыба,
č'uwaj,рыба,сущ
č'uč'u,рыба,сущ
əɲč,рыба,сущ
aasad Ю.,рыба без икры,сущ
p'axp'aŋ,рыба вареная,сущ
sэwaʔn,"рыба вареная, чуть подвяленная",сущ
itqlač,рыба дохлая,сущ
filwil,рыба кислая,сущ
ksus,рыба красная,сущ
soʎona,рыба соленая,сущ
itqlaʔaj,рыба умирающая,сущ
notan,"рыба, вяленая целиком",сущ
qanas,"рыба, похожая на змею",сущ
əlwэntzolan,рыбак,сущ
əlantzo- неп с.,рыбачить,
əlantzokэs инф неп с.,рыбачить,
əɲčsχmo-,рыбачить,неп
эlwэntzo-,рыбачить,неп
taʔŋorэčχ,рыбий плавник,сущ
tэwəč,рыбий плавник,сущ
k'awač,рыбий хребет,сущ
k'awač,рыбий хребет,сущ
tэɬnoj,рыбная котлета,сущ
qilqilwin,рыбная ловля,сущ
porшaʔ,рыбная мука,сущ
toʔsэs,рыбного запора деталь,сущ
totk's,рыбного запора часть,сущ
pэwlumč,рыбный запор,сущ
č'ruč',рыболовная морда,сущ
xiliŋ,рыболовная сеть,сущ
toŋoɬ,рыболовного забора деталь,сущ
č'ruč',рыболовное устройство,сущ
эč'эnom,рыболовное устройство,сущ
imzatэʔɬэ-,рыбу гнать в запор,п1
xilwiŋt-,рыбу ловить,неп
əzzaʔno-,рыбу ловить,неп
nэzэʔɬ-,рыбу нанизывать,неп
axt-,рыбу разделывать,п1
xt-,рыбу разделывать,п1
injinom,рыбы всплеск,сущ
čimsxqaʔn,рыбы крошки,сущ
k'qliknэn,рыбы самец,сущ
qaʔaq,рыбы самка,сущ
koč'χ,рыбы спинка,сущ
ijazo-,рыбы ход,неп
k'ink'in,рыбье брюшко,сущ
эraʔэr,рыбье мясо,сущ
tχisum,рыбье мясо без костей,сущ
lqilqэʔn,рыбьи молоки,сущ
k'iɲɲačχ,рыбьий пупочке,сущ
lič сущ с.,рыбья голова,
xэwlič,рыбья голова,сущ
kɬčlэč,рыбья голова кислая,сущ
ŋilŋil,рыбья икра,сущ
xinsx,рыбья кожа,сущ
ənsx сущ с.,рыбья кожа,
aʔnoŋ,рыбья пластинка,сущ
əɲɬk'əm,рыбья слизь,сущ
č'imq'эʔn,рыбья требуха,сущ
mэlk'al,рыбья чешуя,сущ
isəʔŋɬ-,рыгать,неп
sэŋɬ-,рыдать,неп
sэŋɬzo-,рыдать,неп
fajxa-,рыдать,неп
č'ač'a-,рыжий,А
č'ač'alaχ,рыжий,прил
satu-,рыть,неп
satu-,рыть,п1
amэsat-,рыться,п1
txэla-,рыться,неп
itэmlaχ,рыхлый,прил
č'iŋstэl-,рычать,неп
qэlmэn сущ с.,рябина,
mč'эmč',рябина,сущ
əmč'nowal,рябина,сущ
əmč'nom,рябина,сущ
k'alэk,рядом,нареч
tmalxʔal,с близкого места,нареч
tχlitzu-,с горки кататься,неп
it'э,с давних пор,союз
pɬэ-,с дороги сворачивать,неп
χoxkməŋk,с другой стороны,нареч
sič'эŋanxʔal,с левой стороны,нареч
amsanэq,с опозданием,нареч
ənmač'a-,с толку сбивать,п1
ntitiŋsq,с умом,нареч
əɲɬaɬnom,сад,сущ
ɬawəlnom,садбище,сущ
izusэ-,садиться,неп
ɬawul-,садиться,неп
ɬawulэt-,садиться,неп
čkɬ-,садиться,неп
čkɬit-,садиться,неп
kst'i-,саднить,неп
kst'awan-,саднить сильно,неп
črэčrəm,сажа,сущ
əɲɬaɬ-,сажать,п1
əɲɬaʔɬ-,сажать,п1
ipэrwэ-,сажей,неп
salaʔ,сало свинное,сущ
wnэ,сам,мест
ʷkmilwin,сам я,мест
iχɬχ,самец,сущ
qliqэn,самец,сущ
k'qliknэn,самец рыбы,сущ
qliqэn,самец рыбы зверя,сущ
qəlɬxim,самец соболя,сущ
ɬxэjwak,самка,сущ
ɬxэjwak,самка дикого оленя,сущ
qaʔaq,самка рыбы,сущ
ŋэwin сущ с.,самка рыбы,
ŋikɬxim,самка соболя,сущ
samoʎot,самолет,сущ
los,самострел,сущ
samoj,самый,прил
sanitarnoj,санитарный,прил
sapogaʔn,сапоги,сущ
saraj,сарай,сущ
χəlqэpэt-,сарай запирать,п1
iɲč'-,сарана,неп
qŏsqŏs,сарана,сущ
toɬ-,сарана,неп
tэmэq,сарана,сущ
эfk,сарана,сущ
čaqar,сахар,сущ
saxarajoɬxэn,сахарница,сущ
ənmač'a-,сбивать с толку,п1
čxillit-,сбиваться с пути,неп
эnaxɬ-,сбор урожая,неп
ič'э-,сбрасывать перья,неп
fэʔnэ-,сбросить семя,неп
is-,сварить,п1
kokazo- п1 с.,сварить,
kukэ-,сварить,п1
ənfajwazo-,сварить наскоро,п1
χumisət,сват,сущ
swataʔɬ-,свататься,неп
xqoč,свая,сущ
swэzoj,свежий,прил
swэklaʔ,свекла,сущ
aɲɬэn,свекор,сущ
iɬwэrčэm,сверкание,сущ
iɬwirču-,сверкать,неп
pэʔŋst-,сверкать,неп
kowos-,свернуться клубком,неп
xanxʔal,сверху,нареч
xaɲčxʔal,сверху по течению,нареч
atxʔatx,свет,сущ
əntxun-,свет погасить,п1
atxsa-,светать,неп
txsa-,светать,неп
piŋč,светильник,сущ
paŋɬaʔnoŋ,светильника фитиль,сущ
aʔnfs-,светить,неп
aʔnfsat-,светить,неп
pэʔŋst-,светить,неп
azlaʔɬ-,светить,неп
aʔnfs-,светить,неп
aʔnfsat-,светить,неп
pэʔŋst-,светить,неп
atx-,светлеть,неп
atxq,светло,нареч
atxlaχ,светлый,прил
qɬχəlmaqol,световой день,сущ
paχэlilan,свизза,сущ
salaʔ,свиное сало,сущ
fifzэl-,свистеть,неп
ʷfjэpsa-,свистеть,неп
fifzэl,свистулька,сущ
tiqrэl,свистулька из тальника,сущ
fifzэl-,свистулька свистеть,неп
swoбoda,свобода,сущ
swoбodnoj,свободный,прил
ksota-,сворачивать,неп
pɬэ-,сворачивать с дороги,неп
nэnpənt,связка сырого кипрея,сущ
xəzwэʔɬəs,запора,сущ
omtэ-,связывать,п1
azlaχ,святой,прил
swatoj,святой,прил
Фčifč,святой дух Святой,сущ
poxpx,священник,сущ
ʷnaɬ-,сгибать,п1
naɬala-,сгибать,п1
naɬэt-,сгибать,п1
tqэnsэt-,сгибать,п1
naɬэt-,сгибать многократно,п1
tqэnsэn-,сгибать сильно,п1
naɬala-,сгибать слегка,п1
ʷnaɬ-,сгибаться,неп
naɬkas,сгибаться,инф неп
nasxэnɬ-,сгибаться,неп
txap-,сгибаться,неп
iɬčkuwijimiŋ iɬ-,сглазить,п1
čxl-,сглазить,п1
nonэʔɬ-,сгребать,неп
non-,сгребать в кучу,п1
nэŋɬэl-,сгружать,п1
nэŋɬэlэtə-,сгружать,п1
əmptqэsxэn-,"сдавливать долго, сильно",п1
pkat-,сдваивать ткань,п1
ənsč'эlla-,сдвигать,п1
ənsč'эllala-,сдвигать,п1
sk-,сделать,п1
skawata-,сделать,п1
niwls-,сделать длиннее,п1
aŋqan ənt-,сделать нечто плохое,п1
nэzoq'a-,сделать ниже,п1
ənkčoɲŋa-,сделать тоньше,п1
natkawa-,сделать хромым,п1
ajwaŋ,север,сущ
ajwanʔan,северный,прил
jэmmэjwin,северный ветер,сущ
sowodɲi,сегодня,нареч
Эsxɬin,Седанка (река),собств
Эsxɬin,Седанка новая,собств
Эsxɬin,Седанка старая,собств
atxk'эmamэ-,седеть,неп
atxɬ-,седеть,неп
sэtl-,седлать,п1
sэtlaʔ,седло,сущ
izuwэzəm,седловина,сущ
atxk'эm,седой,сущ
časit,сейчас,нареч
amэɬas,секрет,сущ
atnom,село,сущ
tičsχ сущ с.,село,
ʷqэpx,сельница,сущ
atnoʔan,сельский,прил
sэɬsowэt,сельсовет,сущ
sэmaʔn,семена,сущ
эtuktunuk,семь,числ
kŋalos,семья,сущ
nutɬun,сени,сущ
čiɲэq,сени,сущ
sэnaʔ,сено,сущ
sэnokos,сенокос,сущ
sentябr,сентябрь,сущ
iɬč'sq,сера ушная,сущ
kχaqaɲɬʔin,сердитый,прил
ənχaqaŋэ-,сердить,п1
ɬŋawu-,сердиться,неп
sluni- неп с.,сердиться,
χaqaɲɬ-,сердиться,неп
χiʔni-,сердиться,неп
čən-,сердиться,неп
χiʔnist-,сердиться долго,неп
χaqanʔэ-,сердиться сильно,неп
χaqэni- неп с.,сердиться сильно,
lŋəlŋuč сущ с.,сердце,
liŋč,сердце,сущ
nutэčχ,сердце,сущ
kič'ɬx,сердцевина кипрея,сущ
p'əlχӑŋ,круглой формой,сущ
qamč'al,объели черви,сущ
xəɬk'omtэ-,сердцевину кипрея собирать,п1
kӑnnэnk,середина,нареч
kӑnnэn,"середина, центр",сущ
piŋlaχ,серовато-бурый цвет пепла,прил
pənlaχ,серо-коричневый,прил
pənlaχ,серый,прил
juqэʔn,серьги,сущ
imts,серьёзно,нареч
lilixɬ,сестра,сущ
sillatumx,сестра,сущ
ɲaɲa,сестра старшая,сущ
saʔʎa,бисером,сущ
xiliŋ,сеть,сущ
ilwil-,сеть вязать,п1
sэjaʔɬ-,сеять,неп
ʷtəɬq,сжатая кисть,сущ
ənk'wat-,сжигать,п1
ənluʔɬ-,сжигать,п1
zalk нареч с.,сзади,
salk,сзади,нареч
salxʔal,сзади,нареч
ɬawəlnom,сиденье,сущ
ɬa-,сидеть,неп
q'эfq'эf,сила,сущ
xap,силок,сущ
эnat,силок,сущ
mэl,сильно,нареч
эsqčaq,сильно,нареч
эsčaq,сильно,нареч
q'эwlaχ,сильный,прил
kəmŋa-,симпатию испытывать,неп
fɬa-,синеть,неп
əza-,синеть от мороза,неп
siɲoj,синий,прил
fɬlaχ,синий,прил
mč'эkal,синица,сущ
ktwэnom,синяк,сущ
kэrэnom,синяк,сущ
χэnэ-,сказать,неп
amŋэl,сказка,сущ
amŋэl-,сказки рассказывать,неп
χisi-,скакать галопом,неп
č'эtxla-,скакать галопом,неп
эʔlэ,скала,сущ
ɬanom,скамейка,сущ
tajŋa-,скандалить,неп
qoɲэŋstəl-,скапливаться,неп
qiwэ,скверно,нареч
qiwэlaχ,скверный,прил
tskəllə-,сквозить о ветре,неп
tskəl,сквозняк,сущ
əɲtskəll-,сквозняком продувать,п1
izula-,складывать,п1
əzzut-,складывать,п1
ratoŋ-,снятую с него шкуру,п1
nэtməɲɬ-,склеивать,п1
əntmiɬэt-,склеивать,п1
эʔlэ,склон,сущ
tэmjuŋlaχ,склонный обманывать,прил
fэk'aʔɬ-,скоблить,неп
fэk'э-,скоблить,п1
fэk'эzo-,скоблить,п1
plэʔɬ-,выделкой шкур,неп
pl-,скоблить шкуры при выделке,п1
iɬχap'эs-,скользить,неп
iɬχlaχ,скользкий,прил
iɬχq,скользко,нареч
lэŋəm,скользящая лыжа,сущ
laʔlq,сколько,нареч
laʔlsxэʔn,сколько,нареч
эnqэmɬ,сколько,нареч
əmč'əmč',скорбь,сущ
konsχkwal,скорлупа,сущ
xaɬč,скоро,нареч
xaɬč,скоро,нареч
эč'эwi-,скрадывать,неп
эč'эwi-,скрадывать,п1
qənʔt'sx,скребка рукоятка,сущ
awut,скребок,сущ
insxul,скребок,сущ
qaɲčsχ,скребок,сущ
awut,скребок для выделки шкур,сущ
qaɲčsχ,скребок для выделки шкур,сущ
sэsχal,кипрея,сущ
lotmil-,скрестить,п1
č'onkɬ-,скрипеть,неп
txŋat-,скрывать,п1
amэɬat-,скрываться из глаз,неп
amэɬatat-,скрываться многократно,неп
amэɬaŋ,скрытно,нареч
fiɲwэ,скрытно,нареч
xiʔnэrэ,скрытно,нареч
amэɬaŋlaχ,скрытный,прил
fiŋiʔɬ-,скупиться,неп
fэŋэɬ-,скупиться,неп
fiŋilaχ,скупой,прил
makoʔɬ-,скучать,неп
tэjwэŋ-,скучать,неп
tэjwэŋlaχ,скучать,прил
čxun-,скучать,неп
"kɬmako, kɬtэjэŋэʔn",скучно,нареч
makoʔlaχ,скучный,прил
aŋja,слaвa,сущ
ɲэxiq'эwlaχ,слабый,прил
fəlwэlaχ,слабый,прил
alwas,слава,сущ
nalwaw-,славить,п1
k'alwaʔan,славный,прил
č'anx,сладкая трава,сущ
č'эwэzlaχ,сладкий,прил
ənč'iwiss-,сладким сделать,п1
sič'эŋank,слева,нареч
sič'эŋanxʔal,слева,нареч
sič'эŋanxʔal,слева,нареч
uʎučq,слегка,нареч
ɬkzanom,след,сущ
tiwinom,след,сущ
lэŋazonoŋ,след лыж,сущ
ɬinɬkzэ-,следить,п1
čkzt-,следить,п1
saɬtэ-,следовать за кем-либо сзади,неп
ənsaɬt-,следом за собой вести,п1
skɬazonaʔn,следы,сущ
txɬnom,следы ударов,сущ
məzməz,слеза,сущ
siŋzil,слеза,сущ
ip-,слезать,неп
nas-,слезать,неп
ipit-,слезать с лошади,неп
sjajolŋən,слепая кишка,сущ
lwəlf,слизняк,сущ
əɲɬk'əm,слизь,сущ
amamkaq,слишком,нареч
slowar,словарь,сущ
ɬэrwэtэs,слово,сущ
χэnэs,слово,сущ
χamtzi-,сложить руки и ноги вместе,неп
ənk'ol-,сломать,п1
əɲčaqol-,сломать,п1
k'ol-,сломаться,неп
xalnčaχ,слуга,сущ
ananəmč,служащая опорой для крыши,сущ
usk'əlŋin,служащая подпоркой,сущ
əlʔiɬnom,служение,сущ
эsxpat,слух,сущ
sxlos,случай,сущ
sxlu-,случаться,неп
ilfs-,слушать,п1
ilfs-,слушаться,неп
alwa-,слыть,неп
ilfs-,слышать,неп
ɬuzwэn-,слышаться,неп
tэpəlaχ,слышимый,прил
lэ-,тэпәл,неп
iɬxэŋ,слюна,сущ
čxk'эtэ-,слякотить,неп
čxk'эtx,слякоть,сущ
anza-,либо,п1
nisč-,смазывать жиром,п1
χamɬχzo-,смазывать жиром,п1
smэloj,смелый,прил
эsxnom,смерть,сущ
ɬiŋɬiŋ,смех,сущ
lilum,смешанный лес,сущ
liʔlu-,смешивать,п1
ɬiʔɬ-,смешивать,п1
tχэl-,смешивать,п1
əɲč'lims-,смешивать,п1
towэl-,смешиваться,неп
č'lims-,смешиваться,неп
inɬŋin-,смешить,неп
ɬinɬŋizi-,смешить,п1
ənɬŋizi-,смешить,п1
ənɬŋэ-,смешить,п2
ɬəŋlaχ,смешной,прил
ɬiŋ iɬ-,смеяться,п1
ɬŋizi-,смеяться,неп
ɬŋizэkэs неп с.,смеяться,
ɬŋэzэxtɬ-,смеяться,неп
ɬiŋwэju iɬ-,смеяться над,п1
k'ilfsʔin,смиренный,прил
smokwaʔanuʔ,смоковница,сущ
lэwa-,сморкаться,неп
lэwaʔn axɬ-,сморкаться,п1
əllaʔn axɬ- п1 с.,сморкаться,
lэwasxэn-,сморкаться постоянно,неп
mroʔrot,смородина,сущ
laxɬ-,смотреть,неп
əʎčku- п1 с.,смотреть,
əɬčku-,смотреть,неп
əɬčku-,смотреть,п1
ənsli-,смотреть,п1
twэstэw-,щель,неп
pэnkэču-,смотреть вдаль,неп
ɬčkut-,смотреть долго,п1
aʔntxɬ-,"смотреть, как едят",неп
zэrklačo-,смотреться в зеркало,неп
ŋэskla-,смущаться,неп
nəlts-,смягчать,п1
əltsэ-,смягчаться,неп
ɬinsisχэŋɬ-,снабжать,п1
tэpəl,снаружи,нареч
əzzank,снаружи,нареч
kalfsk,снаружи (где),нареч
kalfsxэʔal,снаружи (откуда),нареч
ɬinsisχэŋɬ-,снаряжать,п1
ɬinŋaziɬ-,снаряжать кого-либо в дорогу,п1
pэrwoj,сначала,прил
ɬf-,снашиваться,неп
ʷqəllal,снег (лежащий на земле),сущ
tχa-,снег идет,неп
tχala-,снег идет немного,неп
paŋopaŋ,снег свежевыпавший,сущ
krэsэčχ,снегирь,сущ
fjaltэ-,снегом заносить,неп
fjaltэt-,снегом заносить,неп
fjal-,снегом мести,неп
tӑχtӑχ,снегопад,сущ
izuqa-,снижаться,неп
tnŭm-,снизу,А
tnŭmxʔal,снизу,нареч
aχɬ-,снимать,п1
uluʔɬ-,снимать кору луб с березы,неп
k'ulu-,снимать луб кору,п1
nэŋɬэl-,снимать часть груза,п1
ulu-,"снимать что-либо, кору, луб",п1
rэtla-,сниться,неп
tэnaq,снова,нареч
rэtrэt,сновидение,сущ
nэnpənt,сноп кипрея,сущ
alwoltэ-,собак подманить,п1
k'ilэχэzum,ние,сущ
ʷqosχ,собака,сущ
ʷqsχaj,собака,сущ
qsχoʔɲɬ,собака,сущ
č'iŋzik,собака злая,сущ
ŋiqsχ,собака-самка,сущ
эʎtqa-,собаку клеймить,п1
ʷqsχaj,собачонка,сущ
бэtok,собирание ягод,сущ
ɬinŋaziɬ-,собирать,п1
эrwэnэt-,приливом дары моря,неп
kunэŋt-,собирать кедровые шишки,неп
niŋt-,собирать кипрей,неп
alxpaʔɬ-,собирать кипрей в посуду,неп
ɬintэwuŋ-,собирать кого-либо в дорогу,п1
sisxэŋɬ-,дорогу,п1
qtэsfɬ-,шишки кедрача,неп
jasaqaʔɬ-,собирать налоги,неп
zэʔɬ-,собирать ягоду,неп
qti-,собирать ягоду,неп
qtэsfɬ-,собирать ягоды,неп
эlwэtɬ-,собирать яйца морских птиц,неп
qziɬ-,собираться,неп
qoɲэŋstəl-,собираться,неп
qunэŋэ-,собираться,неп
quɲэŋэ-,собираться,неп
omakat- неп с.,собираться,
sisxэŋɬ-,собираться в дорогу,неп
qziɬэt-,собираться в путь,неп
iwu-,собираться вместе,неп
tэwu-,собираться долго,неп
q'эfčэ-,собираться с силами,неп
kəmŋэs,соблазн,сущ
kəmŋa-,соблазнять,неп
ənkəmŋa-,соблазнять,п1
ənkəmŋaʔɬ-,соблазнять,неп
ɬximɬxim,соболь,сущ
qəlɬxim,соболь-самец,сущ
ŋikɬxim,соболь-самка,сущ
soбranie,собрание,сущ
эnčэlnom сущ ɬinŋaziɬ-,собрание,п1
non-,собрание,п1
nonэʔɬ-,собрание,неп
niwu- п1 с.,собрание,
nэwnэ-,собрание,п1
nэwnэʔɬ-,собрание,неп
čil-,собрание,п2
ənwэn-,собрание,п1
ənqoɲэŋэwэ-,собрание,п1
ənquɲiŋi-,собрание,п1
эnwэl-,собрание,неп
sisxэŋɬ-,собирать в дорогу,п1
qэɬt'əm,собственно пятно ржавчины,сущ
ipəlak'ič,сова,сущ
tэɬ-,совать,п1
ɬwaɬtэ-,совершить измену,неп
əlʔiɬ-,советовать,п1
č'эxč,совка,сущ
č'эʔɬ-,совместно,п1
nist-,совокупляться,неп
nist-,совокупляться,п1
nэstzo-,совокупляться,неп
nэstzo-,совокупляться,п1
soxsэm,совсем,нареч
kɬuʎu,совсем мало,нареч
soglasnoj,согласный,прил
əlfča-,соглашаться,неп
noma-,согревать,п1
nomsa-,согревать,п1
ənčoʔɬ-,согревать,п1
əɲčni-,согревать,п1
txəʔɲɬ-,содержать,п1
Ӄaɲčsχ,созвездие Большой Медведицы,сущ
atərwatэ-,создавая марево,неп
ikэ-,сознаваться,неп
tpla-,сознание терять,неп
is-,созревать,неп
oč'эt-,созывать,п1
iʔmэməm,сок березовый,сущ
rэwlan,сокол,сущ
nikəms-,сократить,п1
soʎona,соленая рыба,сущ
ik'sxulaχ,соленый,прил
solkoj,соленый,прил
soʎonoj,соленый,прил
soʎaʔɬ-,солить,неп
soʎaʔɬ-,солить,п1
klačʔin,солнечный,прил
lač,солнце,сущ
čkɬit-,солнце садится,неп
čkɬ-,солнце садиться,неп
laččaχ,солнышко,сущ
soʎajoɬxэn,солонка,сущ
soʎ,соль,сущ
kojos-,сомневаться,неп
rэtrэt,сон,сущ
quɲэŋ,сообща,нареч
ampэlač,сообщение,сущ
ŋэjŋэ,сопка,сущ
lэwaŋ,сопля,сущ
əllaŋ,сопля,сущ
Сusx,Сопочное,собств
wəl-,соревноваться,неп
əlχэ-,сосать,неп
əlχэ-,сосать,п1
ʎuʎučχ,сосок,сущ
lalxaŋ,сосок мужской груди,сущ
wəl-,состязаться,неп
tjotjəm,сосуд,сущ
эʔjoɬxэn,сосуд,сущ
akinsx,четырехугольный,сущ
эʔjoɬxэn,сосуд для воды,сущ
kэtwoɬčaχ,сосулька,сущ
k'axsa-,сохнуть,неп
k'isxɬ-,сохнуть,неп
ənftэʔɬ-,сохранить,п1
ŋiti-,сохранять,п1
lэlut,союзка (при меховой обуви),сущ
ʷŋэkɬnom,спальня,сущ
spasaɬ-,спасать,неп
spasaʔɬ-,спасать,неп
ənspasaʔɬ-,спасать,п1
qэč'эɬ,спасибо,нареч
spasaʔɬkaɬχ,Спаситель,сущ
jilqэt- неп с.,спать,
jəlqэ- неп с.,спать,
ʷŋikɬ-,спать,неп
ʷŋiksini-,спать,неп
tsqэ-,спать хотеть,неп
k'isknэn,спелый,прил
kɬfəɲčk,спереди,нареч
čaqaʔɬ-,спеть,неп
k'ilэχэzum,для привязвания собак,сущ
čэfi-,спешить,неп
piliʔɬ-,спилить,неп
k'aač сущ с.,спина,
k'awač,спина,сущ
koč'χ,спинка рыбы,сущ
sэqэsэq,спинка рыбы,сущ
pilwit,спинная жила,сущ
sitɬp-,спинная часть оленьей туши,п1
tənzasχ,спинной плавник,сущ
spičkaʔn,спички,сущ
twi-,сплавлять,п1
prostoj,сплошной,прил
əmptqэ-,сплющивать,п1
tkarwэla,спокойно,нареч
isэŋlaχ,спокойный,прил
akumanom,спор,сущ
anɬmanom,спор,сущ
